Crash Date (Year) by Rural/Urban,,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
2014,Rural,495,37,242,336,1048,203,57,57,0,583,417,29,142,373,444,223,264,475,338,103,141,37,342,233,492,423,162,155,80,44,70,211,361,822,103,437,404,209,555,6,518,105,423,1564,105,36,416,195,182,305,106,15108,362
,Urban,251,31,464,100,1810,248,177,52,21,1753,663,65,33,471,260,65,77,137,327,12,275,299,488,91,51,273,14,48,188,45,450,125,619,366,18,476,185,113,552,45,238,20,470,1620,117,6,235,232,60,153,25,14914,212
,Total,747,68,708,436,2859,451,234,109,21,2336,1080,94,175,845,704,288,341,612,665,115,416,336,831,324,543,696,176,203,268,89,523,340,980,1188,121,917,589,322,1107,51,756,125,893,3190,222,42,659,429,242,459,131,30056,574
